id,name,artist_id,artists,artist_genre,album_type,album_id,album_name,album_release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3TAMiM8XFmU9vFd333pgRh,mistério do planeta,2ohBjgFT9V0LRDWO2wF9DJ,novos baianos,"bossa nova,brazilian indie,mpb,psicodelia brasileira,samba,samba-rock,tropicalia",album,5pIlMNPZh4D9iJSoCfMzGi,acabou chorare,1972,217960,57,0.61,0.495,1,-8.399,0,0.0891,0.8,2.52E-5,0.083,0.683,146.878,3.0
3U0Jz4y4SiseCKtL6jdDOZ,midwinter,3iidbcDBg4BOBD5a927q0Q,czarina frost,"calming instrumental,chill guitar",single,38fLpzIszQjCAZ2FTIuTi7,midwinter,2022,170000,35,0.384,0.0181,8,-31.967,1,0.0531,0.908,0.865,0.105,0.113,79.752,4.0
3U4ek9i5n2C9OXSLsuubzY,mirrors - acoustic,6cpVjPOo5Ozn28hUfYBXqm,jonah baker,"acoustic cover,viral pop",single,1Lobc5m485WYXK0icerSTM,mirrors (acoustic),2021,224171,48,0.487,0.288,11,-11.174,1,0.0455,0.806,0.0,0.0804,0.426,127.89,4.0
3V1H6liHwCDcWeqdPJabOM,wicked game - acoustic; live,49qiE8dj4JuNdpYGRPdKbF,stone sour,"alternative metal,nu metal,post-grunge,rap rock,rock",album,0dZB8UHYsM7jKmm7ByzAVq,come what(ever) may [10th anniversary edition],2006,267253,64,0.561,0.337,8,-9.272,1,0.0284,0.644,8.79E-5,0.67,0.273,109.373,4.0
3VOtM6x5KXZuxSzHaaf9oO,mama - acoustic,"1HBjj22wzbscIZ9sEb5dyf,5exS0bytCYdixgv02DaCm3","jonas blue,william singe","dance pop,edm,pop,pop dance,tropical house,uk dance",single,0AIZFcHSbXf5B7XLRaPLN5,mama (acoustic),2017,192277,51,0.564,0.364,10,-5.845,0,0.0631,0.759,0.0,0.0839,0.591,86.538,4.0
3Vby4nGmtbDo7HDJamOWkT,stuck in the middle with you,7bPU7cvfoD20ixGD9Qnqki,stealers wheel,"classic rock,classic uk pop,folk rock",album,5ApN9lqru1t3Xh1IaEGTll,stealers wheel,1972,208947,76,0.82,0.575,7,-9.144,1,0.0408,0.0936,1.35E-4,0.109,0.964,123.765,4.0
3WBn4AmDXNmvVGylRZnCO5,young and beautiful,4FrFdi2hHpulQOxDihRIQD,aoi teshima,"anime score,j-acoustic",album,4lGxlHx6nZxbwVCjxwCMwA,cheek to cheek~i love cinemas~,2018,277147,38,0.359,0.166,4,-15.468,1,0.0362,0.984,2.07E-4,0.0983,0.242,104.998,4.0
3X0AiNNYbSVeH4RQ02oACJ,weighing me down,3KzOQRh1A98EEqIOmguy1Z,anchor end,"",single,1ibGDPsFmFwSbmBugrx3Ja,weighing me down,2023,181940,12,0.467,0.466,0,-8.246,1,0.0301,0.252,0.0,0.0929,0.293,149.674,4.0
3X48ZBpcaLIGUdC0E3wKJK,tethered,3CBHXhdUqx63xJe4C4vzNg,andrew gialanella,"",single,0jU2TUpEEvlVgqgpBCAsz5,tethered,2022,127929,33,0.759,0.386,5,-7.058,1,0.0511,0.952,0.94,0.101,0.504,140.102,4.0
3XiNc2hdq4n90CZqi7aBYw,higher love - acoustic,08qkAEn1wetskAwcPrcOPf,hannah's yard,"acoustic cover,channel pop,viral pop",single,0HOEirhmoHRQKth0guf9QO,higher love (acoustic),2021,195208,41,0.306,0.226,0,-10.657,0,0.0528,0.94,1.47E-6,0.273,0.192,60.109,3.0
